Ticker,Last,RVOL,ATR%,RSI14,Dist_to_52W_High%,$ADV20,MA20,MA50,Above_MA20,Above_MA50,Ret20d%,Ret5d%,Setup,Score,Is_Leveraged_ETF
BZH,208.32,7.58,11.39,30.6,50.15,422273685.0,257.03,283.17,0,0,-25.17,-20.28,Reversal,45.47,False
FCFS,14.21,5.7,4.74,33.8,19.49,220297025.0,16.08,15.01,0,0,-3.0,-12.61,Reversal,29.24,False
AAOI,102.51,3.88,8.01,86.6,6.81,450580239.0,52.03,42.82,1,1,135.06,89.97,Breakout,27.56,False
BHR,12.06,1.52,7.47,16.6,30.13,52817625.0,14.79,14.29,0,0,-20.61,1.77,Reversal,25.66,False
VYGR,17.6,1.56,6.39,27.4,38.78,33757225.0,21.19,23.9,0,0,-26.27,-17.41,Reversal,25.55,False
PGNY,17.6,1.56,6.39,27.4,38.78,33757225.0,21.19,23.9,0,0,-26.27,-17.41,Reversal,25.55,False
VAC,16.49,1.31,7.0,34.5,30.22,196111930.0,17.38,17.13,0,0,-8.34,-2.37,Reversal,24.76,False
MCS,17.57,3.0,5.08,33.0,14.5,58767260.0,18.54,18.41,0,0,-4.82,-7.38,Reversal,23.82,False
IMMR,294.07,2.49,4.16,31.3,33.38,590410920.0,333.57,348.49,0,0,-14.94,-12.45,Reversal,23.61,False
BBIO,14.2,1.85,6.8,72.9,1.38,48954511.0,10.75,10.34,1,1,62.66,29.09,Breakout,22.64,False
ULCC,35.35,3.06,5.21,79.8,0.73,162110031.0,27.56,22.34,1,1,44.52,29.16,Breakout,22.51,False
RAMP,22.45,2.31,4.95,32.5,16.17,48966337.0,23.61,22.45,0,1,-7.5,-1.84,Reversal,22.45,False
VSTS,300.84,1.77,4.72,27.4,17.92,732126727.0,323.77,304.56,0,0,-7.33,-0.59,Reversal,21.38,False
NMAX,61.59,1.84,3.82,28.2,27.53,300554769.0,65.47,67.24,0,0,-5.39,-1.79,Reversal,21.31,False
NPO,66.37,1.61,4.43,17.8,24.15,85670440.0,70.83,74.15,0,0,-12.13,-5.86,Reversal,20.99,False
DCGO,307.43,1.53,4.02,27.0,20.66,1372629028.0,341.36,358.07,0,0,-12.7,-4.3,Reversal,20.19,False
OTTR,32.39,1.45,4.11,30.7,14.56,39229984.0,34.13,34.33,0,0,-5.57,-3.14,Reversal,19.45,False
SLSN,46.08,1.35,4.9,61.5,4.79,43112783.0,41.63,38.57,1,1,22.1,13.19,Breakout,19.42,False
AMBQ,31.69,1.72,4.37,69.8,3.21,208813988.0,28.11,26.31,1,1,19.99,10.34,Breakout,19.08,False
SMP,19.65,2.8,3.81,98.4,4.19,79445397.0,16.45,14.35,1,1,37.12,12.09,Breakout,19.02,False
HFFG,178.96,2.1,3.49,67.3,2.37,422582813.0,169.31,158.33,1,1,9.16,2.96,Breakout,18.75,False
NX,19.72,1.31,3.77,24.1,12.65,49020176.0,21.18,20.08,0,0,-3.73,-3.62,Reversal,18.44,False
STGW,46.14,2.31,2.87,65.0,1.79,67600579.0,43.56,40.68,1,1,13.67,1.61,Breakout,18.43,False
AIRS,46.14,2.31,2.87,65.0,1.79,67600579.0,43.56,40.68,1,1,13.67,1.61,Breakout,18.43,False
CC,214.91,1.97,3.02,65.3,0.59,555899531.0,199.26,185.69,1,1,18.45,8.88,Breakout,17.98,False
