Ticker,Last,RVOL,ATR%,RSI14,Dist_to_52W_High%,$ADV20,MA20,MA50,Above_MA20,Above_MA50,Ret20d%,Ret5d%,Setup,Score,Is_Leveraged_ETF
BZH,208.32,7.58,11.39,30.6,50.15,422273685.0,257.03,283.17,0,0,-25.17,-20.28,Reversal,45.47,False
FCFS,14.21,5.7,4.74,33.8,19.49,220297025.0,16.08,15.01,0,0,-3.0,-12.61,Reversal,29.24,False
BHR,12.06,1.52,7.47,16.6,30.13,52817625.0,14.79,14.29,0,0,-20.61,1.77,Reversal,25.66,False
VYGR,17.6,1.56,6.39,27.4,38.78,33757225.0,21.19,23.9,0,0,-26.27,-17.41,Reversal,25.55,False
PGNY,17.6,1.56,6.39,27.4,38.78,33757225.0,21.19,23.9,0,0,-26.27,-17.41,Reversal,25.55,False
VAC,16.49,1.31,7.0,34.5,30.22,196111930.0,17.38,17.13,0,0,-8.34,-2.37,Reversal,24.76,False
MCS,17.57,3.0,5.08,33.0,14.5,58767260.0,18.54,18.41,0,0,-4.82,-7.38,Reversal,23.82,False
IMMR,294.07,2.49,4.16,31.3,33.38,590410920.0,333.57,348.49,0,0,-14.94,-12.45,Reversal,23.61,False
RAMP,22.45,2.31,4.95,32.5,16.17,48966337.0,23.61,22.45,0,1,-7.5,-1.84,Reversal,22.45,False
VSTS,300.84,1.77,4.72,27.4,17.92,732126727.0,323.77,304.56,0,0,-7.33,-0.59,Reversal,21.38,False
NMAX,61.59,1.84,3.82,28.2,27.53,300554769.0,65.47,67.24,0,0,-5.39,-1.79,Reversal,21.31,False
NPO,66.37,1.61,4.43,17.8,24.15,85670440.0,70.83,74.15,0,0,-12.13,-5.86,Reversal,20.99,False
DCGO,307.43,1.53,4.02,27.0,20.66,1372629028.0,341.36,358.07,0,0,-12.7,-4.3,Reversal,20.19,False
OTTR,32.39,1.45,4.11,30.7,14.56,39229984.0,34.13,34.33,0,0,-5.57,-3.14,Reversal,19.45,False
NX,19.72,1.31,3.77,24.1,12.65,49020176.0,21.18,20.08,0,0,-3.73,-3.62,Reversal,18.44,False
