ticker,stage,reason
AAMI,filters,avg_vol_20d 40671 < 1000000
AAP,filters,rvol 0.83 < 1.3
AARD,filters,adv20 24318057 < 30000000
AAT,filters,rvol 0.62 < 1.3
ABAT,filters,avg_vol_20d 77286 < 1000000
ABCB,filters,rvol 0.63 < 1.3
ABEO,filters,avg_vol_20d 134593 < 1000000
ABG,filters,rvol 0.49 < 1.3
ABL,filters,price 5.16 < 8.0
ABM,filters,avg_vol_20d 358886 < 1000000
ABR,filters,avg_vol_20d 533451 < 1000000
ABSI,filters,rvol 0.66 < 1.3
ABTC,filters,adv20 29988932 < 30000000
ABUS,filters,rvol 0.67 < 1.3
ACA,filters,avg_vol_20d 101355 < 1000000
ACAD,filters,adv20 24128747 < 30000000
ACCO,filters,rvol 1.08 < 1.3
ACDC,filters,price 5.17 < 8.0
ACEL,filters,price 3.28 < 8.0
ACHR,filters,price 7.52 < 8.0
ACIC,filters,avg_vol_20d 423603 < 1000000
ACIW,filters,avg_vol_20d 14703 < 1000000
ACLS,filters,price 4.63 < 8.0
ACLX,filters,rvol 0.63 < 1.3
ACMR,filters,rvol 1.03 < 1.3
ACNB,filters,avg_vol_20d 772344 < 1000000
ACNT,filters,avg_vol_20d 126010 < 1000000
ACR,filters,price 5.13 < 8.0
ACRE,filters,price 5.60 < 8.0
ACRS,setup,did_not_meet_breakout_or_reversal
ACT,filters,rvol 0.58 < 1.3
ACTG,filters,rvol 1.19 < 1.3
ACTU,filters,avg_vol_20d 416597 < 1000000
ACU,filters,adv20 17031785 < 30000000
ACVA,filters,avg_vol_20d 101355 < 1000000
ADAM,filters,price 3.32 < 8.0
ADCT,filters,rvol 1.11 < 1.3
ADEA,data,empty_or_short_history
ADMA,filters,avg_vol_20d 459869 < 1000000
ADNT,filters,adv20 26047206 < 30000000
ADPT,filters,avg_vol_20d 440288 < 1000000
ADTN,filters,rvol 0.79 < 1.3
ADUS,filters,rvol 0.57 < 1.3
ADV,filters,rvol 0.76 < 1.3
AEBI,filters,avg_vol_20d 367284 < 1000000
AEHR,filters,avg_vol_20d 583438 < 1000000
AEIS,filters,avg_vol_20d 448785 < 1000000
AEO,filters,avg_vol_20d 895854 < 1000000
AESI,filters,avg_vol_20d 969141 < 1000000
AEVA,setup,did_not_meet_breakout_or_reversal
AEYE,setup,did_not_meet_breakout_or_reversal
AFCG,filters,avg_vol_20d 406214 < 1000000
AFRI,filters,avg_vol_20d 7792 < 1000000
AGIO,filters,avg_vol_20d 877737 < 1000000
AGL,filters,adv20 15024193 < 30000000
AGM,filters,rvol 0.46 < 1.3
AGX,filters,price 6.88 < 8.0
AGYS,filters,price 6.00 < 8.0
AHCO,filters,avg_vol_20d 58561 < 1000000
AHH,filters,avg_vol_20d 229424 < 1000000
AHL,filters,avg_vol_20d 43406 < 1000000
AHR,filters,price 0.55 < 8.0
AI,filters,avg_vol_20d 77286 < 1000000
AII,filters,avg_vol_20d 188436 < 1000000
AIN,filters,adv20 26423925 < 30000000
AIOT,filters,price 2.21 < 8.0
AIP,filters,price 5.24 < 8.0
AIR,filters,price 1.24 < 8.0
AIRJ,filters,avg_vol_20d 486958 < 1000000
AIRO,filters,avg_vol_20d 406214 < 1000000
AISP,filters,rvol 0.82 < 1.3
AIV,filters,avg_vol_20d 126010 < 1000000
AKBA,filters,avg_vol_20d 29226 < 1000000
AKR,filters,adv20 14601192 < 30000000
ALAB,filters,rvol 0.53 < 1.3
ALB,filters,avg_vol_20d 117400 < 1000000
ALCO,filters,avg_vol_20d 114128 < 1000000
ALDX,filters,avg_vol_20d 14703 < 1000000
ALEC,filters,rvol 0.92 < 1.3
ALEX,filters,price 7.58 < 8.0
ALG,filters,adv20 24128747 < 30000000
ALGT,filters,price 6.62 < 8.0
ALH,filters,price 1.17 < 8.0
ALHC,filters,rvol 0.60 < 1.3
ALIT,filters,price 1.46 < 8.0
ALKS,filters,avg_vol_20d 448785 < 1000000
ALKT,filters,price 7.43 < 8.0
ALLO,filters,rvol 0.71 < 1.3
ALMS,filters,avg_vol_20d 500325 < 1000000
ALMU,filters,price 5.74 < 8.0
ALNT,filters,rvol 0.95 < 1.3
ALRM,filters,price 2.48 < 8.0
ALRS,filters,price 3.88 < 8.0
ALT,filters,avg_vol_20d 55572 < 1000000
ALTG,filters,price 7.62 < 8.0
ALTI,filters,avg_vol_20d 101225 < 1000000
ALX,filters,rvol 0.54 < 1.3
AMAL,setup,did_not_meet_breakout_or_reversal
AMBA,filters,rvol 0.80 < 1.3
AMBP,filters,rvol 0.82 < 1.3
AMC,filters,price 5.09 < 8.0
AMCX,filters,rvol 1.13 < 1.3
AMD,filters,adv20 21458018 < 30000000
AMLX,filters,avg_vol_20d 53456 < 1000000
AMN,filters,rvol 0.68 < 1.3
AMPH,filters,rvol 0.50 < 1.3
AMPL,filters,avg_vol_20d 546071 < 1000000
AMPX,filters,rvol 1.17 < 1.3
AMR,filters,avg_vol_20d 397354 < 1000000
AMRC,filters,avg_vol_20d 236092 < 1000000
AMRX,filters,avg_vol_20d 161043 < 1000000
AMSC,filters,avg_vol_20d 14454 < 1000000
AMSF,filters,price 1.52 < 8.0
AMTB,filters,rvol 1.08 < 1.3
AMWD,filters,avg_vol_20d 123266 < 1000000
ANAB,filters,avg_vol_20d 446461 < 1000000
ANDE,filters,avg_vol_20d 459869 < 1000000
ANF,setup,did_not_meet_breakout_or_reversal
ANGI,filters,avg_vol_20d 968006 < 1000000
ANGO,filters,rvol 0.68 < 1.3
ANIK,filters,avg_vol_20d 195260 < 1000000
ANIP,filters,price 6.61 < 8.0
ANNX,filters,avg_vol_20d 180164 < 1000000
AOMR,filters,avg_vol_20d 10385 < 1000000
