ticker,stage,reason
GTN,filters,"$ADV20 $1,934,666 < $30,000,000"
MCY,filters,"$ADV20 $1,934,666 < $30,000,000"
HVT,filters,"$ADV20 $180,198 < $30,000,000; 5d return 18.4% > 15.0% (avoiding chased names)"
KG,filters,"$ADV20 $180,198 < $30,000,000; 5d return 18.4% > 15.0% (avoiding chased names)"
MPTI,filters,"$ADV20 $180,198 < $30,000,000; 5d return 18.4% > 15.0% (avoiding chased names)"
SGC,filters,"$ADV20 $1,934,666 < $30,000,000"
SPXC,filters,"$ADV20 $180,198 < $30,000,000; 5d return 18.4% > 15.0% (avoiding chased names)"
GRBK,filters,"$ADV20 $1,934,666 < $30,000,000"
NAT,filters,"$ADV20 $7,766,805 < $30,000,000"
VPG,filters,"$ADV20 $7,766,805 < $30,000,000"
VCYT,filters,"$ADV20 $21,408,680 < $30,000,000; 5d return 21.1% > 15.0% (avoiding chased names)"
DRVN,scoring,tech_score_below_min_5.5
HMN,scoring,tech_score_below_min_5.5
ICUI,filters,"$ADV20 $27,986,521 < $30,000,000"
SNFCA,filters,"$ADV20 $315,821 < $30,000,000"
EXPE,filters,"$ADV20 $315,821 < $30,000,000"
CL,filters,"$ADV20 $21,654,733 < $30,000,000"
DRI,filters,"$ADV20 $21,654,733 < $30,000,000"
MNMD,filters,"$ADV20 $21,654,733 < $30,000,000"
PAGS,filters,"$ADV20 $21,654,733 < $30,000,000"
GEHC,filters,"$ADV20 $21,654,733 < $30,000,000"
OUT,scoring,tech_score_below_min_5.5
IDXX,scoring,tech_score_below_min_5.5
SMBK,scoring,tech_score_below_min_5.5
FLWS,scoring,tech_score_below_min_5.5
PNW,filters,"Price $3.41 < $5.00; $ADV20 $2,146,980 < $30,000,000"
QUAD,filters,"$ADV20 $3,055,049 < $30,000,000"
EGY,filters,"$ADV20 $1,595,618 < $30,000,000"
LFMD,filters,"$ADV20 $1,595,618 < $30,000,000"
CMRC,scoring,tech_score_below_min_5.5
OXM,filters,"Price $2.91 < $5.00; $ADV20 $2,604,919 < $30,000,000"
BMRC,filters,"$ADV20 $2,843,025 < $30,000,000"
FTRE,filters,"$ADV20 $2,843,025 < $30,000,000"
IP,filters,"$ADV20 $2,843,025 < $30,000,000"
DAKT,filters,"$ADV20 $2,843,025 < $30,000,000"
EFSC,filters,"$ADV20 $17,161,424 < $30,000,000"
KLTR,scoring,tech_score_below_min_5.5
CBU,filters,"Price $1.41 < $5.00; $ADV20 $450,197 < $30,000,000"
COR,filters,"Price $1.41 < $5.00; $ADV20 $450,197 < $30,000,000"
PYPL,filters,"$ADV20 $15,789,914 < $30,000,000"
SLDB,filters,"$ADV20 $15,789,914 < $30,000,000"
PACB,filters,"$ADV20 $15,789,914 < $30,000,000"
RDVT,filters,"$ADV20 $15,789,914 < $30,000,000"
QNST,scoring,tech_score_below_min_5.5
GENC,filters,"$ADV20 $13,159,021 < $30,000,000"
AKBA,filters,"$ADV20 $442,882 < $30,000,000"
WRBY,filters,"$ADV20 $442,882 < $30,000,000"
IDR,filters,5d return 18.4% > 15.0% (avoiding chased names)
CCSI,filters,"Price $1.26 < $5.00; $ADV20 $5,235,894 < $30,000,000"
PBYI,filters,"$ADV20 $12,518,771 < $30,000,000"
LMAT,filters,"$ADV20 $3,475,728 < $30,000,000"
SNBR,filters,"$ADV20 $3,475,728 < $30,000,000"
AHH,filters,"$ADV20 $22,792,817 < $30,000,000; 5d return 17.5% > 15.0% (avoiding chased names)"
VNDA,filters,"$ADV20 $22,792,817 < $30,000,000; 5d return 17.5% > 15.0% (avoiding chased names)"
IMXI,filters,"$ADV20 $7,565,367 < $30,000,000"
KIDS,filters,"$ADV20 $2,306,033 < $30,000,000; 5d return 17.9% > 15.0% (avoiding chased names)"
COHR,filters,"$ADV20 $2,306,033 < $30,000,000; 5d return 17.9% > 15.0% (avoiding chased names)"
NPCE,filters,"$ADV20 $2,426,671 < $30,000,000"
AMRX,filters,"$ADV20 $2,426,671 < $30,000,000"
ENVA,filters,"$ADV20 $2,426,671 < $30,000,000"
HSTM,scoring,tech_score_below_min_5.5
SWK,filters,5d return 20.1% > 15.0% (avoiding chased names)
ACIC,filters,"$ADV20 $8,763,092 < $30,000,000"
MBI,filters,"$ADV20 $3,849,708 < $30,000,000"
GEF,filters,"$ADV20 $3,849,708 < $30,000,000"
HE,filters,"$ADV20 $16,302,111 < $30,000,000"
PCG,scoring,tech_score_below_min_5.5
DJCO,scoring,tech_score_below_min_5.5
PJT,scoring,tech_score_below_min_5.5
DEC,scoring,tech_score_below_min_5.5
PPG,scoring,tech_score_below_min_5.5
BUSE,scoring,tech_score_below_min_5.5
RUSHB,filters,"$ADV20 $17,397,741 < $30,000,000"
NUAI,filters,"$ADV20 $8,513,006 < $30,000,000"
CMT,filters,"$ADV20 $8,513,006 < $30,000,000"
CHD,scoring,tech_score_below_min_5.5
PHM,filters,"$ADV20 $416,738 < $30,000,000"
WAT,scoring,tech_score_below_min_5.5
BKV,scoring,tech_score_below_min_5.5
LH,filters,"$ADV20 $1,630,440 < $30,000,000"
PBI,filters,"$ADV20 $10,488,456 < $30,000,000"
FPI,filters,"$ADV20 $10,488,456 < $30,000,000"
DVN,filters,"$ADV20 $10,488,456 < $30,000,000"
GM,filters,"$ADV20 $26,930,844 < $30,000,000"
IRT,filters,"$ADV20 $26,930,844 < $30,000,000"
PTLO,scoring,tech_score_below_min_5.5
HSHP,filters,"$ADV20 $8,885,406 < $30,000,000"
FLGT,filters,"$ADV20 $8,345,936 < $30,000,000"
SFNC,filters,"$ADV20 $8,345,936 < $30,000,000"
EYE,filters,"$ADV20 $8,345,936 < $30,000,000"
DAWN,filters,"$ADV20 $8,345,936 < $30,000,000"
TNK,filters,"$ADV20 $25,198,218 < $30,000,000"
BKTI,filters,"$ADV20 $25,198,218 < $30,000,000"
GLRE,filters,"$ADV20 $2,778,243 < $30,000,000"
BCPC,filters,"$ADV20 $1,630,767 < $30,000,000"
UCB,filters,"$ADV20 $1,630,767 < $30,000,000"
ARDT,filters,"$ADV20 $28,186,338 < $30,000,000"
T,filters,"$ADV20 $1,748,684 < $30,000,000"
BYRN,filters,"$ADV20 $4,123,368 < $30,000,000"
STRL,scoring,tech_score_below_min_5.5
GNE,scoring,tech_score_below_min_5.5
GDYN,filters,"$ADV20 $856,420 < $30,000,000"
MIAX,filters,"$ADV20 $856,420 < $30,000,000"
MBWM,filters,"$ADV20 $22,706,207 < $30,000,000"
VABK,scoring,tech_score_below_min_5.5
KROS,filters,"$ADV20 $4,173,667 < $30,000,000"
CMCSA,filters,"$ADV20 $5,038,064 < $30,000,000"
CWCO,filters,"$ADV20 $5,038,064 < $30,000,000"
LFCR,filters,"$ADV20 $3,108,985 < $30,000,000"
BCAX,filters,"$ADV20 $3,108,985 < $30,000,000"
EXR,filters,"$ADV20 $8,001,433 < $30,000,000"
NGNE,filters,"$ADV20 $3,947,064 < $30,000,000"
ASB,filters,"$ADV20 $3,947,064 < $30,000,000"
APPN,scoring,tech_score_below_min_5.5
GEO,scoring,tech_score_below_min_5.5
TIPT,scoring,tech_score_below_min_5.5
DE,scoring,tech_score_below_min_5.5
SKYX,filters,"$ADV20 $3,769,496 < $30,000,000"
NABL,filters,"$ADV20 $3,769,496 < $30,000,000"
INCY,filters,"Price $1.93 < $5.00; $ADV20 $1,863,599 < $30,000,000"
BHRB,scoring,tech_score_below_min_5.5
BLFS,scoring,tech_score_below_min_5.5
BSVN,filters,"$ADV20 $5,298,993 < $30,000,000"
GLNG,filters,"$ADV20 $399,963 < $30,000,000"
PTCT,filters,"Price $4.82 < $5.00; $ADV20 $8,323,691 < $30,000,000"
MEI,scoring,tech_score_below_min_5.5
RMD,scoring,tech_score_below_min_5.5
NPO,scoring,tech_score_below_min_5.5
PRAX,scoring,tech_score_below_min_5.5
AEBI,filters,"$ADV20 $3,221,396 < $30,000,000"
FLYW,filters,"$ADV20 $3,221,396 < $30,000,000"
MNKD,filters,"Price $3.04 < $5.00; $ADV20 $27,141,877 < $30,000,000"
GPI,filters,"Price $3.04 < $5.00; $ADV20 $27,141,877 < $30,000,000"
CARL,filters,"Price $3.04 < $5.00; $ADV20 $27,141,877 < $30,000,000"
USNA,filters,"Price $3.04 < $5.00; $ADV20 $27,141,877 < $30,000,000"
