ticker,stage,provider_used,rows,first_date,last_date,missing_cols,dropped_bad_rows,dropped_future_rows,reject_reason,exception_type,exception_message
GTN,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
MCY,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
HVT,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
KG,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
MPTI,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
SGC,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
SPXC,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
GRBK,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
NAT,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
VPG,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
VCYT,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
DRVN,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
HMN,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
ICUI,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
SNFCA,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
EXPE,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
CL,load_prices,price_db,218.0,2025-04-16,2026-02-27,,0.0,,,,
DRI,load_prices,price_db,218.0,2025-04-16,2026-02-27,,0.0,,,,
MNMD,load_prices,price_db,218.0,2025-04-16,2026-02-27,,0.0,,,,
PAGS,load_prices,price_db,218.0,2025-04-16,2026-02-27,,0.0,,,,
GEHC,load_prices,price_db,218.0,2025-04-16,2026-02-27,,0.0,,,,
OUT,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
IDXX,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
SMBK,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
FLWS,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
PNW,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
QUAD,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
EGY,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
LFMD,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
CMRC,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
OXM,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
BMRC,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
FTRE,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
IP,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
DAKT,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
EFSC,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
KLTR,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
CBU,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
COR,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
TREE,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
PYPL,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
SLDB,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
PACB,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
RDVT,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
QNST,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
GENC,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
AKBA,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
WRBY,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
IDR,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
CCSI,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
PBYI,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
LMAT,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
SNBR,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
AHH,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
VNDA,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
IMXI,load_prices,price_db,218.0,2025-04-16,2026-02-27,,0.0,,,,
KIDS,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
COHR,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
NPCE,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
AMRX,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
ENVA,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
HSTM,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
SWK,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
ACIC,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
MBI,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
GEF,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
HE,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
PCG,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
DJCO,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
PJT,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
DEC,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
PPG,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
BUSE,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
RUSHB,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
NUAI,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
CMT,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
CHD,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
PHM,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
ATNI,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
DAVE,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
WAT,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
BKV,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
LH,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
PBI,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
FPI,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
DVN,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
GM,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
IRT,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
PTLO,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
HSHP,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
FLGT,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
SFNC,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
EYE,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
DAWN,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
TNK,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
BKTI,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
GLRE,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
BCPC,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
UCB,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
THFF,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
CFG,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
FRST,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
ARDT,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
T,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
BYRN,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
STRL,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
GNE,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
STRA,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
GDYN,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
MIAX,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
MBWM,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
VABK,load_prices,price_db,137.0,2025-08-14,2026-03-02,,0.0,,,,
KROS,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
CMCSA,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
CWCO,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
LFCR,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
BCAX,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
EXR,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
DAL,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
NNE,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
NGNE,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
ASB,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
APPN,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
GEO,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
TIPT,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
DE,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
SKYX,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
NABL,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
INCY,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
BHRB,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
BLFS,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
BSVN,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
GLNG,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
AIRS,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
ESS,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
STGW,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
PTCT,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
MEI,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
RMD,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
NPO,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
PRAX,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
AEBI,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
FLYW,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
MNKD,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
GPI,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
CARL,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
USNA,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
FAST,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
XPEL,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
TSBK,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
CEG,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
SION,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
CURI,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
DNLI,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
MEG,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
ACGL,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
ARQT,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
CVI,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
MTH,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
ACRS,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
ARES,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
VALU,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
TMO,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
CMPR,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
FVR,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
UNB,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
ALDX,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
ACIW,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
BKSY,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
SIGI,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
CIEN,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
DNUT,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
FWRG,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
QCRH,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
WFC,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
GKOS,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
IESC,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
AKAM,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
HTFL,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
LAKE,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
NN,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
EGHT,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
LUV,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
PIPR,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
ELMD,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
MLR,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
TDY,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
WM,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
BIDU,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
CSW,load_prices,price_db,140.0,2025-08-11,2026-03-02,,0.0,,,,
DCOM,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
ASPI,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
NBR,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
IKT,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
EXPO,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
GCT,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
ASTI,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
DH,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
BDC,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
OPTU,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
BRK-B,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
UBER,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
SNOW,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
FF,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
BMBL,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
SNAP,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
OI,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
ALIT,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
TERN,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
UHS,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
DEI,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
FSBC,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
PRM,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
CURV,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
SSRM,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
RCAT,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
LXP,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
IBRX,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
CHEF,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
BNL,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
MYRG,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
GOOD,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
SLVM,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
CABO,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
NNI,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
CON,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
KOPN,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
MGTX,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
ALEX,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
HRL,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
NB,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
ACRE,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
BCAL,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
ED,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
CDW,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
IBP,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
TRC,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
TEL,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
MATW,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
CMRE,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
ZSPC,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
KVUE,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
LPG,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
PEB,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
MRBK,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
UVV,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
UBFO,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
OFLX,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
ITGR,load_prices,price_db,219.0,2025-04-16,2026-03-02,,0.0,,,,
