Ticker,Last,RVOL,ATR%,RSI14,Dist_to_52W_High%,$ADV20,MA20,MA50,Above_MA20,Above_MA50,Ret20d%,Ret5d%,Setup,Score,Is_Leveraged_ETF
KREF,101.14,1.3,9.65,84.7,8.05,589884573.0,60.33,46.99,1,1,153.48,88.38,Breakout,24.78,False
CRMD,49.97,2.22,5.22,71.5,3.01,53716055.0,43.04,39.2,1,1,24.09,22.99,Breakout,21.21,False
ATXS,110.78,2.7,4.43,78.1,2.63,305146347.0,97.89,90.13,1,1,16.98,14.02,Breakout,20.72,False
BKE,65.88,2.51,4.22,73.7,2.82,409678389.0,57.52,51.92,1,1,15.38,17.02,Breakout,20.27,False
BMBL,41.77,2.18,4.33,67.8,6.91,116013129.0,40.2,39.38,1,1,12.04,4.09,Breakout,19.95,False
WOOF,15.54,1.52,5.47,79.1,0.8,50272004.0,13.03,9.57,1,1,38.26,14.52,Breakout,19.83,False
CWT,15.54,1.52,5.47,79.1,0.8,50272004.0,13.03,9.57,1,1,38.26,14.52,Breakout,19.83,False
PRIM,33.72,1.93,4.12,56.2,3.02,400881829.0,31.58,28.5,1,1,4.07,12.78,Breakout,19.26,False
PFBC,45.66,1.62,5.02,87.7,3.22,124174095.0,36.24,32.89,1,1,29.39,26.62,Breakout,18.89,False
YELP,71.57,1.99,2.82,53.9,4.45,477889167.0,68.66,64.96,1,1,7.14,6.53,Breakout,17.41,False
SIEB,71.57,1.99,2.82,53.9,4.45,477889167.0,68.66,64.96,1,1,7.14,6.53,Breakout,17.41,False
BRCC,228.03,2.09,3.18,85.4,2.13,609969701.0,204.33,189.36,1,1,15.51,11.89,Breakout,17.41,False
FBRT,228.03,2.09,3.18,85.4,2.13,609969701.0,204.33,189.36,1,1,15.51,11.89,Breakout,17.41,False
RUN,71.57,1.99,2.82,53.9,4.45,477889167.0,68.66,64.96,1,1,7.14,6.53,Breakout,17.41,False
ATOM,166.44,1.36,3.0,68.6,1.87,416063502.0,157.52,145.96,1,1,7.6,9.17,Breakout,16.54,False
