ticker,stage,provider_used,rows,first_date,last_date,missing_cols,dropped_bad_rows,dropped_future_rows,reject_reason,exception_type,exception_message
TMHC,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
NBHC,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
MLR,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
FVR,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
HROW,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
TYL,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
LMT,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
SATS,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
SMID,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
SKIN,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
TXN,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
INCY,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
ALAB,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
GNW,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
GBCI,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
PTLO,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
GTN,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
AII,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
SEM,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
CCRN,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
INVH,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
SXT,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
DGICA,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
AVAV,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
HPQ,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
AGM,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
EXE,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
GHM,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
PODD,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
HST,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
HIFS,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
DIN,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
ELV,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
XPER,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
PDYN,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
VMD,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
MUR,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
NEXT,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
PHAT,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
TZOO,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
ESCA,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
LMND,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
KRT,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
DNTH,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
MFIN,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
RCEL,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
CTAS,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
SMA,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
CWST,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
JMSB,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
FATE,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
XOMA,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
CV,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
CVI,load_prices,price_db,170.0,2025-07-02,2026-03-05,,0.0,,,,
NOW,load_prices,price_db,170.0,2025-07-02,2026-03-05,,0.0,,,,
GLUE,load_prices,price_db,220.0,2025-04-21,2026-03-05,,0.0,,,,
