ticker,entry_price,requested_entry_price,actual_entry_price,max_entry_price,entry_status,stop_loss,target_1,holding_period,exit_price,exit_day,exit_reason,pnl_pct,unrealized_pnl_pct,hit_target,hit_stop,same_bar_both_touched,date,engine,score,regime,subtype,input_mode,bundle_id,bundle_composite_sha256,pit_grade
600580.SH,12.4,12.35,12.4,12.6,filled,11.74,13.52,5,11.74,3.0,stop_hit,-5.32,,False,True,False,2021-09-07,alpha_rs_pullback,98.96,choppy,rs_pullback_alpha,live,,,
600329.SH,25.49,25.66,25.49,26.17,filled,24.16,28.23,5,24.16,2.0,stop_hit,-5.22,,False,True,False,2021-09-07,alpha_rs_pullback,98.04,choppy,rs_pullback_alpha,live,,,
002180.SZ,38.48,38.54,38.48,39.31,filled,36.36,42.39,5,38.31,5.0,hold_expired,-0.44,,False,False,False,2021-09-08,alpha_rs_pullback,98.96,choppy,rs_pullback_alpha,live,,,
600582.SH,4.34,4.34,4.34,4.43,filled,4.09,4.77,5,4.47,5.0,hold_expired,3.0,,False,False,False,2021-09-08,alpha_rs_pullback,98.69,choppy,rs_pullback_alpha,live,,,
002180.SZ,38.6,38.59,38.6,39.36,filled,36.46,42.45,5,39.29,5.0,hold_expired,1.79,,False,False,False,2021-09-09,alpha_rs_pullback,98.63,choppy,rs_pullback_alpha,live,,,
601198.SH,11.28,11.24,11.28,11.46,filled,10.84,12.0,5,10.84,3.0,stop_hit,-3.9,,False,True,False,2021-09-09,alpha_rs_pullback,98.57,choppy,rs_pullback_alpha,live,,,
002080.SZ,31.59,31.33,31.59,31.96,filled,29.44,34.46,5,34.46,3.0,target_hit,9.09,,True,False,False,2021-09-10,alpha_rs_pullback,98.81,choppy,rs_pullback_alpha,live,,,
600320.SH,3.89,3.9,3.89,3.98,filled,3.72,4.25,5,4.25,2.0,target_hit,9.25,,True,False,False,2021-09-10,alpha_rs_pullback,98.61,choppy,rs_pullback_alpha,live,,,
600795.SH,2.53,2.52,2.53,2.57,filled,2.42,2.72,5,2.42,2.0,stop_hit,-4.35,,False,True,False,2021-09-13,alpha_rs_pullback,98.88,choppy,rs_pullback_alpha,live,,,
600782.SH,8.09,8.32,8.09,8.49,filled,7.78,9.15,5,7.69,2.0,stop_hit_gap,-4.94,,False,True,False,2021-09-13,alpha_rs_pullback,98.76,choppy,rs_pullback_alpha,live,,,
600233.SH,12.88,13.04,12.88,13.3,filled,12.24,14.34,5,12.24,2.0,stop_hit,-4.97,,False,True,False,2021-10-08,alpha_rs_pullback,98.33,choppy,rs_pullback_alpha,live,,,
600578.SH,2.94,2.94,,3.0,skipped,2.75,3.23,5,,,entry_skipped_no_chase,,,False,False,False,2021-10-08,alpha_rs_pullback,98.04,choppy,rs_pullback_alpha,live,,,
600339.SH,3.25,3.29,3.25,3.36,filled,3.07,3.62,5,3.07,2.0,stop_hit,-5.54,,False,True,False,2021-10-11,alpha_rs_pullback,97.87,bull,rs_pullback_alpha,live,,,
002041.SZ,21.6,22.09,21.6,22.53,filled,20.67,24.3,5,20.67,2.0,stop_hit,-4.31,,False,True,False,2021-10-11,alpha_rs_pullback,96.6,bull,rs_pullback_alpha,live,,,
600048.SH,11.88,12.04,11.88,12.28,filled,11.31,13.24,5,11.31,3.0,stop_hit,-4.8,,False,True,False,2021-10-13,alpha_rs_pullback,98.74,bull,rs_pullback_alpha,live,,,
002602.SZ,7.22,7.25,7.22,7.4,filled,6.93,7.87,5,6.9,2.0,stop_hit_gap,-4.43,,False,True,False,2021-10-13,alpha_rs_pullback,97.92,bull,rs_pullback_alpha,live,,,
603707.SH,26.71,26.4,26.71,26.93,filled,25.08,28.92,5,26.29,5.0,hold_expired,-1.57,,False,False,False,2021-10-14,alpha_rs_pullback,98.03,bull,rs_pullback_alpha,live,,,
000739.SZ,36.11,35.93,36.11,36.65,filled,33.47,39.52,5,35.36,5.0,hold_expired,-2.08,,False,False,False,2021-10-14,alpha_rs_pullback,97.74,bull,rs_pullback_alpha,live,,,
603707.SH,26.28,26.29,26.28,26.82,filled,25.02,28.71,5,26.0,5.0,hold_expired,-1.07,,False,False,False,2021-10-15,alpha_rs_pullback,98.9,choppy,rs_pullback_alpha,live,,,
603606.SH,26.31,26.31,,26.84,skipped,24.25,28.94,5,,,entry_skipped_no_chase,,,False,False,False,2021-10-15,alpha_rs_pullback,97.51,choppy,rs_pullback_alpha,live,,,
002013.SZ,14.11,14.11,14.11,14.39,filled,13.37,15.51,5,14.03,5.0,hold_expired,-0.57,,False,False,False,2021-10-19,alpha_rs_pullback,98.21,choppy,rs_pullback_alpha,live,,,
601088.SH,15.61,17.04,15.61,17.38,filled,16.01,18.74,5,15.61,1.0,gap_stop_open,0.0,,False,True,False,2021-10-19,alpha_rs_pullback,97.8,choppy,rs_pullback_alpha,live,,,
300476.SZ,26.81,27.01,26.81,27.55,filled,25.14,30.59,5,26.81,5.0,hold_expired,0.0,,False,False,False,2021-10-20,alpha_rs_pullback,97.97,choppy,rs_pullback_alpha,live,,,
603707.SH,26.45,26.48,26.45,27.01,filled,25.12,29.09,5,25.83,5.0,hold_expired,-2.34,,False,False,False,2021-10-20,alpha_rs_pullback,97.24,choppy,rs_pullback_alpha,live,,,
603707.SH,26.49,26.29,26.49,26.82,filled,24.89,28.92,5,25.71,5.0,hold_expired,-2.94,,False,False,False,2021-10-21,alpha_rs_pullback,98.9,choppy,rs_pullback_alpha,live,,,
002505.SZ,3.25,3.27,3.25,3.34,filled,3.05,3.6,5,3.6,3.0,target_hit,10.77,,True,False,False,2021-10-21,alpha_rs_pullback,98.56,choppy,rs_pullback_alpha,live,,,
000537.SZ,15.18,15.46,15.18,15.77,filled,13.94,17.01,5,17.01,3.0,target_hit,12.06,,True,False,False,2021-10-22,alpha_rs_pullback,98.39,choppy,rs_pullback_alpha,live,,,
002013.SZ,14.05,14.08,14.05,14.36,filled,13.38,15.41,5,15.07,5.0,hold_expired,7.26,,False,False,False,2021-10-22,alpha_rs_pullback,97.67,choppy,rs_pullback_alpha,live,,,
002368.SZ,27.65,27.89,27.65,28.45,filled,26.13,30.68,5,27.78,5.0,hold_expired,0.47,,False,False,False,2021-10-25,alpha_rs_pullback,98.6,choppy,rs_pullback_alpha,live,,,
603129.SH,147.19,147.19,147.19,150.13,filled,135.49,161.91,5,161.91,5.0,target_hit,10.0,,True,False,False,2021-10-25,alpha_rs_pullback,98.54,choppy,rs_pullback_alpha,live,,,
601615.SH,25.64,25.46,25.64,25.97,filled,23.74,28.01,5,28.01,2.0,target_hit,9.24,,True,False,False,2021-10-26,alpha_rs_pullback,99.0,bull,rs_pullback_alpha,live,,,
002597.SZ,41.58,41.64,41.58,42.47,filled,39.41,45.8,5,39.36,2.0,stop_hit_gap,-5.34,,False,True,False,2021-10-26,alpha_rs_pullback,98.6,bull,rs_pullback_alpha,live,,,
002472.SZ,26.03,25.57,26.03,26.08,filled,23.85,28.13,5,28.13,4.0,target_hit,8.07,,True,False,False,2021-10-29,alpha_rs_pullback,98.66,choppy,rs_pullback_alpha,live,,,
600406.SH,24.61,24.45,24.61,24.94,filled,23.16,26.9,5,23.11,2.0,stop_hit_gap,-6.1,,False,True,False,2021-10-29,alpha_rs_pullback,97.08,choppy,rs_pullback_alpha,live,,,
601689.SH,36.46,36.14,36.46,36.86,filled,33.96,39.75,5,40.31,2.0,target_hit_gap,10.56,,True,False,False,2021-11-11,alpha_rs_pullback,98.91,bull,rs_pullback_alpha,live,,,
002074.SZ,59.03,58.29,59.03,59.46,filled,54.9,64.12,5,54.9,3.0,stop_hit,-7.0,,False,True,False,2021-11-11,alpha_rs_pullback,98.86,bull,rs_pullback_alpha,live,,,
600487.SH,16.46,16.45,16.46,16.78,filled,15.63,18.02,5,15.63,5.0,stop_hit,-5.04,,False,True,False,2021-11-22,alpha_rs_pullback,98.03,choppy,rs_pullback_alpha,live,,,
600577.SH,8.48,8.38,8.48,8.55,filled,7.88,9.22,5,7.88,2.0,stop_hit,-7.08,,False,True,False,2021-11-22,alpha_rs_pullback,97.97,choppy,rs_pullback_alpha,live,,,
002938.SZ,35.47,36.64,35.47,37.37,filled,34.9,39.97,5,34.9,3.0,stop_hit,-1.61,,False,True,False,2021-11-23,alpha_rs_pullback,98.89,choppy,rs_pullback_alpha,live,,,
002268.SZ,61.2,60.82,61.2,62.04,filled,56.87,66.9,5,53.65,2.0,stop_hit_gap,-12.34,,False,True,False,2021-11-23,alpha_rs_pullback,98.82,choppy,rs_pullback_alpha,live,,,
603290.SH,329.61,331.26,329.61,337.89,filled,313.03,364.39,5,313.03,3.0,stop_hit,-5.03,,False,True,False,2021-11-24,alpha_rs_pullback,98.88,choppy,rs_pullback_alpha,live,,,
002938.SZ,36.54,36.57,36.54,37.3,filled,34.8,39.95,5,34.8,2.0,stop_hit,-4.76,,False,True,False,2021-11-24,alpha_rs_pullback,98.62,choppy,rs_pullback_alpha,live,,,
000596.SZ,228.88,228.98,228.88,233.56,filled,218.2,249.55,5,224.8,5.0,hold_expired,-1.78,,False,False,False,2021-11-25,alpha_rs_pullback,98.9,choppy,rs_pullback_alpha,live,,,
002241.SZ,50.12,50.4,50.12,51.41,filled,47.87,55.23,5,50.2,5.0,hold_expired,0.16,,False,False,False,2021-11-25,alpha_rs_pullback,98.83,choppy,rs_pullback_alpha,live,,,
300496.SZ,151.1,153.07,151.1,156.13,filled,144.99,168.49,5,144.99,2.0,stop_hit,-4.04,,False,True,False,2021-12-03,alpha_rs_pullback,98.96,choppy,rs_pullback_alpha,live,,,
