baseline_date,regime,engine,ticker,name_cn,score,planned_entry_price,max_entry_price,stop_loss,target_1,holding_period,input_mode,bundle_id,bundle_composite_sha256,pit_grade
2021-09-07,choppy,alpha_rs_pullback,600580.SH,,98.96,12.35,12.6,11.74,13.52,5,live,,,
2021-09-07,choppy,alpha_rs_pullback,600329.SH,,98.04,25.66,26.17,24.16,28.23,5,live,,,
2021-09-08,choppy,alpha_rs_pullback,002180.SZ,,98.96,38.54,39.31,36.36,42.39,5,live,,,
2021-09-08,choppy,alpha_rs_pullback,600582.SH,,98.69,4.34,4.43,4.09,4.77,5,live,,,
2021-09-09,choppy,alpha_rs_pullback,002180.SZ,,98.63,38.59,39.36,36.46,42.45,5,live,,,
2021-09-09,choppy,alpha_rs_pullback,601198.SH,,98.57,11.24,11.46,10.84,12.0,5,live,,,
2021-09-10,choppy,alpha_rs_pullback,002080.SZ,,98.81,31.33,31.96,29.44,34.46,5,live,,,
2021-09-10,choppy,alpha_rs_pullback,600320.SH,,98.61,3.9,3.98,3.72,4.25,5,live,,,
2021-09-13,choppy,alpha_rs_pullback,600795.SH,,98.88,2.52,2.57,2.42,2.72,5,live,,,
2021-09-13,choppy,alpha_rs_pullback,600782.SH,,98.76,8.32,8.49,7.78,9.15,5,live,,,
2021-10-08,choppy,alpha_rs_pullback,600233.SH,,98.33,13.04,13.3,12.24,14.34,5,live,,,
2021-10-08,choppy,alpha_rs_pullback,600578.SH,,98.04,2.94,3.0,2.75,3.23,5,live,,,
2021-10-11,bull,alpha_rs_pullback,600339.SH,,97.87,3.29,3.36,3.07,3.62,5,live,,,
2021-10-11,bull,alpha_rs_pullback,002041.SZ,,96.6,22.09,22.53,20.67,24.3,5,live,,,
2021-10-13,bull,alpha_rs_pullback,600048.SH,,98.74,12.04,12.28,11.31,13.24,5,live,,,
2021-10-13,bull,alpha_rs_pullback,002602.SZ,,97.92,7.25,7.4,6.93,7.87,5,live,,,
2021-10-14,bull,alpha_rs_pullback,603707.SH,,98.03,26.4,26.93,25.08,28.92,5,live,,,
2021-10-14,bull,alpha_rs_pullback,000739.SZ,,97.74,35.93,36.65,33.47,39.52,5,live,,,
2021-10-15,choppy,alpha_rs_pullback,603707.SH,,98.9,26.29,26.82,25.02,28.71,5,live,,,
2021-10-15,choppy,alpha_rs_pullback,603606.SH,,97.51,26.31,26.84,24.25,28.94,5,live,,,
2021-10-19,choppy,alpha_rs_pullback,002013.SZ,,98.21,14.11,14.39,13.37,15.51,5,live,,,
2021-10-19,choppy,alpha_rs_pullback,601088.SH,,97.8,17.04,17.38,16.01,18.74,5,live,,,
