date,equity,cash,positions
2021-10-12,99569.23,60000.0,2
2021-10-13,98031.2,98031.2,0
2021-10-14,97011.59,58818.72,2
2021-10-15,96485.04,38816.52,3
2021-10-18,95042.2,57482.06,2
2021-10-19,96240.1,57482.06,2
2021-10-20,95689.97,57482.06,2
2021-10-21,95514.63,95514.63,0
2021-10-22,95514.63,95514.63,0
2021-10-25,95514.63,95514.63,0
2021-10-26,95514.63,95514.63,0
2021-10-27,95774.19,57308.78,2
2021-10-28,96260.46,96260.46,0
2021-10-29,96260.46,96260.46,0
2021-11-01,96260.46,96260.46,0
2021-11-02,96260.46,96260.46,0
2021-11-03,96260.46,96260.46,0
2021-11-04,96260.46,96260.46,0
2021-11-05,96260.46,96260.46,0
2021-11-08,96260.46,96260.46,0
2021-11-09,96260.46,96260.46,0
2021-11-10,96260.46,96260.46,0
2021-11-11,96260.46,96260.46,0
2021-11-12,97668.15,57756.28,2
2021-11-15,97530.22,79041.3,1
2021-11-16,96946.43,96946.43,0
2021-11-17,96946.43,96946.43,0
2021-11-18,96946.43,96946.43,0
2021-11-19,96946.43,96946.43,0
2021-11-22,96946.43,96946.43,0
2021-11-23,96946.43,96946.43,0
2021-11-24,96946.43,96946.43,0
2021-11-25,96946.43,96946.43,0
2021-11-26,96946.43,96946.43,0
2021-11-29,96946.43,96946.43,0
2021-11-30,96946.43,96946.43,0
2021-12-01,96946.43,96946.43,0
2021-12-02,96946.43,96946.43,0
2021-12-03,96946.43,96946.43,0
2021-12-06,96946.43,96946.43,0
2021-12-07,96946.43,96946.43,0
2021-12-08,96946.43,96946.43,0
2021-12-09,96946.43,96946.43,0
2021-12-10,97989.93,58167.86,2
2021-12-13,97197.33,18971.88,4
2021-12-14,96942.3,0.0,5
2021-12-15,95640.48,0.0,5
2021-12-16,94932.5,490.81,5
2021-12-17,91962.49,0.0,5
2021-12-20,89883.31,17246.83,4
2021-12-21,90130.44,34618.46,3
2021-12-22,90910.81,54046.17,2
2021-12-23,90389.3,71358.87,1
2021-12-24,90931.74,54030.09,2
2021-12-27,91538.66,73491.61,1
2021-12-28,92066.19,73491.61,1
2021-12-29,92473.41,73491.61,1
2021-12-30,93334.11,93334.11,0
2021-12-31,93334.11,93334.11,0
2022-01-04,93334.11,93334.11,0
2022-01-05,93334.11,93334.11,0
2022-01-06,93334.11,93334.11,0
2022-01-07,93334.11,93334.11,0
2022-01-10,93334.11,93334.11,0
2022-01-11,93334.11,93334.11,0
2022-01-12,93334.11,93334.11,0
2022-01-13,93334.11,93334.11,0
2022-01-14,93334.11,93334.11,0
2022-01-17,93334.11,93334.11,0
2022-01-18,93334.11,93334.11,0
2022-01-19,93334.11,93334.11,0
2022-01-20,93334.11,93334.11,0
2022-01-21,93334.11,93334.11,0
2022-01-24,93334.11,93334.11,0
2022-01-25,93334.11,93334.11,0
2022-01-26,93334.11,93334.11,0
2022-01-27,93334.11,93334.11,0
2022-01-28,93334.11,93334.11,0
2022-02-07,93334.11,93334.11,0
2022-02-08,93334.11,93334.11,0
2022-02-09,93334.11,93334.11,0
2022-02-10,93334.11,93334.11,0
2022-02-11,93334.11,93334.11,0
2022-02-14,93334.11,93334.11,0
2022-02-15,93334.11,93334.11,0
2022-02-16,93334.11,93334.11,0
2022-02-17,93334.11,93334.11,0
2022-02-18,93334.11,93334.11,0
2022-02-21,93334.11,93334.11,0
2022-02-22,93334.11,93334.11,0
2022-02-23,93334.11,93334.11,0
2022-02-24,93334.11,93334.11,0
2022-02-25,93334.11,93334.11,0
2022-02-28,93334.11,93334.11,0
2022-03-01,93334.11,93334.11,0
2022-03-02,93334.11,93334.11,0
2022-03-03,93334.11,93334.11,0
2022-03-04,93334.11,93334.11,0
2022-03-07,93334.11,93334.11,0
2022-03-08,93334.11,93334.11,0
2022-03-09,93334.11,93334.11,0
2022-03-10,93334.11,93334.11,0
2022-03-11,93334.11,93334.11,0
2022-03-14,93334.11,93334.11,0
2022-03-15,93334.11,93334.11,0
2022-03-16,93334.11,93334.11,0
2022-03-17,93334.11,93334.11,0
2022-03-18,93334.11,93334.11,0
2022-03-21,93334.11,93334.11,0
2022-03-22,93334.11,93334.11,0
2022-03-23,93334.11,93334.11,0
2022-03-24,93334.11,93334.11,0
2022-03-25,93334.11,93334.11,0
2022-03-28,93334.11,93334.11,0
2022-03-29,93334.11,93334.11,0
2022-03-30,93334.11,93334.11,0
2022-03-31,93334.11,93334.11,0
2022-04-01,93334.11,93334.11,0
2022-04-06,93334.11,93334.11,0
2022-04-07,93334.11,93334.11,0
2022-04-08,93334.11,93334.11,0
2022-04-11,93334.11,93334.11,0
2022-04-12,93334.11,93334.11,0
2022-04-13,93334.11,93334.11,0
2022-04-14,93334.11,93334.11,0
2022-04-15,93334.11,93334.11,0
2022-04-18,93334.11,93334.11,0
2022-04-19,93334.11,93334.11,0
2022-04-20,93334.11,93334.11,0
2022-04-21,93334.11,93334.11,0
2022-04-22,93334.11,93334.11,0
2022-04-25,93334.11,93334.11,0
2022-04-26,93334.11,93334.11,0
2022-04-27,93334.11,93334.11,0
2022-04-28,93334.11,93334.11,0
2022-04-29,93334.11,93334.11,0
2022-05-05,93334.11,93334.11,0
2022-05-06,93334.11,93334.11,0
2022-05-09,93334.11,93334.11,0
2022-05-10,93334.11,93334.11,0
2022-05-11,93334.11,93334.11,0
2022-05-12,93334.11,93334.11,0
2022-05-13,93334.11,93334.11,0
2022-05-16,93334.11,93334.11,0
2022-05-17,93334.11,93334.11,0
2022-05-18,93334.11,93334.11,0
2022-05-19,93334.11,93334.11,0
2022-05-20,93334.11,93334.11,0
2022-05-23,93334.11,93334.11,0
2022-05-24,93334.11,93334.11,0
2022-05-25,93334.11,93334.11,0
2022-05-26,93334.11,93334.11,0
2022-05-27,93334.11,93334.11,0
2022-05-30,93334.11,93334.11,0
2022-05-31,93334.11,93334.11,0
2022-06-01,93334.11,93334.11,0
2022-06-02,93334.11,93334.11,0
2022-06-06,93334.11,93334.11,0
2022-06-07,93334.11,93334.11,0
2022-06-08,93334.11,93334.11,0
2022-06-09,93334.11,93334.11,0
2022-06-10,93334.11,93334.11,0
2022-06-13,93334.11,93334.11,0
2022-06-14,94779.09,56000.47,2
2022-06-15,94075.03,38516.52,3
2022-06-16,94283.37,19037.28,4
2022-06-17,97372.97,0.0,5
2022-06-20,96396.11,21459.73,4
2022-06-21,93829.47,1774.65,5
2022-06-22,92369.82,18712.02,4
2022-06-23,93530.25,0.0,5
2022-06-24,95491.5,308.88,5
2022-06-27,97715.38,800.3,5
2022-06-28,96999.29,120.5,5
2022-06-29,97049.77,19204.91,4
2022-06-30,103111.53,0.0,5
2022-07-01,106228.69,363.68,5
2022-07-04,108508.79,44510.75,3
2022-07-05,105731.99,22489.15,4
2022-07-06,104081.73,292.93,5
2022-07-07,106199.29,0.0,5
2022-07-08,105996.96,1323.42,5
2022-07-11,106530.8,22761.02,4
2022-07-12,104787.12,65718.75,2
2022-07-13,104483.54,104483.54,0
2022-07-14,104483.54,104483.54,0
2022-07-15,104483.54,104483.54,0
2022-07-18,104483.54,104483.54,0
2022-07-19,104483.54,104483.54,0
2022-07-20,104483.54,104483.54,0
2022-07-21,104483.54,104483.54,0
2022-07-22,104483.54,104483.54,0
2022-07-25,104483.54,104483.54,0
2022-07-26,104483.54,104483.54,0
2022-07-27,104483.54,104483.54,0
2022-07-28,104483.54,104483.54,0
2022-07-29,104483.54,104483.54,0
2022-08-01,104483.54,104483.54,0
2022-08-02,104483.54,104483.54,0
2022-08-03,104483.54,104483.54,0
2022-08-04,104483.54,104483.54,0
2022-08-05,104483.54,104483.54,0
2022-08-08,104483.54,104483.54,0
2022-08-09,104483.54,104483.54,0
2022-08-10,104483.54,104483.54,0
2022-08-11,104483.54,104483.54,0
2022-08-12,104483.54,104483.54,0
2022-08-15,104483.54,104483.54,0
