ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000300.SH,2012-01-04,2298.753,2361.499,2365.988,2298.298,2345.742,-46.989,-2.0032,34344567.0,32572551.267
000300.SH,2012-01-05,2276.385,2290.78,2316.657,2272.153,2298.753,-22.368,-0.973,43016480.0,37635272.074
000300.SH,2012-01-06,2290.601,2274.352,2291.885,2254.567,2276.385,14.216,0.6245,35198992.0,31079362.325
000300.SH,2012-01-09,2368.57,2291.182,2368.889,2271.717,2290.601,77.969,3.4039,54727341.0,51478126.954
000300.SH,2012-01-10,2447.349,2365.768,2449.955,2361.281,2368.57,78.779,3.326,81154989.0,75249157.103
000300.SH,2012-01-11,2435.608,2444.757,2453.146,2423.322,2447.349,-11.741,-0.4797,58705674.0,57587219.272
000300.SH,2012-01-12,2435.219,2426.82,2464.378,2423.321,2435.608,-0.389,-0.016,47121275.0,47877407.259
000300.SH,2012-01-13,2394.334,2438.405,2445.787,2374.545,2435.219,-40.885,-1.6789,45513997.0,47228338.588
000300.SH,2012-01-16,2345.649,2376.953,2394.498,2345.633,2394.334,-48.685,-2.0333,30527145.0,34410385.319
000300.SH,2012-01-17,2460.601,2347.568,2462.429,2329.248,2345.649,114.952,4.9006,64205648.0,64324131.068
000300.SH,2012-01-18,2422.189,2464.92,2485.498,2414.527,2460.601,-38.412,-1.5611,63892358.0,67058838.88
000300.SH,2012-01-19,2468.35,2423.857,2480.206,2414.985,2422.189,46.161,1.9058,55615726.0,56377653.304
000300.SH,2012-01-20,2504.086,2476.73,2510.34,2462.594,2468.35,35.736,1.4478,54529783.0,57474475.709
000300.SH,2012-01-30,2460.72,2508.877,2508.877,2460.396,2504.086,-43.366,-1.7318,43517148.0,44770885.276
000300.SH,2012-01-31,2464.26,2462.338,2472.839,2447.768,2460.72,3.54,0.1439,30701501.0,32694132.107
000300.SH,2012-02-01,2428.994,2458.233,2481.664,2423.45,2464.26,-35.266,-1.4311,35015374.0,37752320.797
000300.SH,2012-02-02,2486.238,2437.47,2486.238,2429.709,2428.994,57.244,2.3567,42066985.0,44126383.715
000300.SH,2012-02-03,2506.09,2478.336,2514.645,2470.28,2486.238,19.852,0.7985,49949240.0,51507545.973
000300.SH,2012-02-06,2504.322,2511.172,2520.758,2488.709,2506.09,-1.768,-0.0705,45079905.0,47541523.547
000300.SH,2012-02-07,2457.954,2489.032,2489.032,2441.698,2504.322,-46.368,-1.8515,39679164.0,40034277.145
000300.SH,2012-02-08,2528.236,2456.422,2534.162,2450.999,2457.954,70.282,2.8594,56186456.0,61721305.024
000300.SH,2012-02-09,2529.231,2525.589,2546.025,2513.131,2528.236,0.995,0.0394,59299751.0,63456204.565
000300.SH,2012-02-10,2533.624,2521.676,2560.027,2521.155,2529.231,4.393,0.1737,61575877.0,60029482.361
000300.SH,2012-02-13,2531.981,2504.41,2553.446,2496.305,2533.624,-1.643,-0.0648,51913973.0,54282622.44
000300.SH,2012-02-14,2522.107,2528.967,2533.264,2506.537,2531.981,-9.874,-0.39,40430101.0,43723682.304
000300.SH,2012-02-15,2549.607,2515.829,2562.071,2511.289,2522.107,27.5,1.0904,58090370.0,60422394.145
000300.SH,2012-02-16,2536.074,2544.641,2559.345,2519.043,2549.607,-13.533,-0.5308,54395431.0,55165633.314
000300.SH,2012-02-17,2537.086,2551.815,2558.345,2522.856,2536.074,1.012,0.0399,38994716.0,40458003.413
000300.SH,2012-02-20,2540.706,2571.907,2574.746,2539.904,2537.086,3.62,0.1427,56153329.0,56748912.893
