ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399006.SZ,2014-01-02,1333.003,1302.298,1333.103,1299.336,1304.444,28.559,2.1894,5471068.5,12373349.33761
399006.SZ,2014-01-03,1352.84,1332.352,1355.121,1331.973,1333.003,19.837,1.4881,6209396.57,14652635.27421
399006.SZ,2014-01-06,1323.328,1350.312,1354.15,1322.716,1352.84,-29.512,-2.1815,5563493.3,13020214.79151
399006.SZ,2014-01-07,1352.276,1315.436,1355.4,1312.269,1323.328,28.948,2.1875,5318760.84,11909722.11355
399006.SZ,2014-01-08,1405.023,1363.306,1409.21,1363.306,1352.276,52.747,3.9006,8685217.41,20914439.08971
399006.SZ,2014-01-09,1380.244,1401.797,1423.837,1379.648,1405.023,-24.779,-1.7636,7628716.2,19105793.50064
399006.SZ,2014-01-10,1353.302,1373.517,1385.855,1347.61,1380.244,-26.942,-1.952,4390992.47,10147330.11249
399006.SZ,2014-01-13,1362.788,1352.007,1374.145,1349.246,1353.302,9.486,0.701,4461048.92,9954594.47201
399006.SZ,2014-01-14,1400.916,1364.801,1400.916,1364.801,1362.788,38.128,2.7978,4810748.21,10996665.51982
399006.SZ,2014-01-15,1415.323,1399.666,1417.416,1397.945,1400.916,14.407,1.0284,4763004.38,11114450.20922
399006.SZ,2014-01-16,1395.163,1415.568,1423.118,1392.006,1415.323,-20.16,-1.4244,4798139.92,11304549.59268
399006.SZ,2014-01-17,1395.509,1395.029,1411.547,1391.619,1395.163,0.346,0.0248,4793895.27,11697049.3801
399006.SZ,2014-01-20,1372.736,1393.876,1400.944,1362.45,1395.509,-22.773,-1.6319,5146414.08,12453815.30773
399006.SZ,2014-01-21,1407.152,1370.686,1407.452,1370.686,1372.736,34.416,2.5071,5210025.71,12839981.81197
399006.SZ,2014-01-22,1431.741,1407.464,1431.997,1407.464,1407.152,24.589,1.7474,6398492.71,15783544.5481
399006.SZ,2014-01-23,1461.525,1433.701,1472.336,1433.171,1431.741,29.784,2.0803,7375285.82,19158428.74809
399006.SZ,2014-01-24,1484.432,1458.206,1493.637,1455.95,1461.525,22.907,1.5673,6753368.57,16981022.47487
399006.SZ,2014-01-27,1477.669,1477.46,1500.457,1465.144,1484.432,-6.763,-0.4556,7042767.78,17673619.53058
399006.SZ,2014-01-28,1471.34,1476.589,1486.423,1448.474,1477.669,-6.329,-0.4283,5508402.1,14174593.33481
399006.SZ,2014-01-29,1496.527,1472.542,1497.716,1469.583,1471.34,25.187,1.7118,5530405.51,14363992.87744
399006.SZ,2014-01-30,1495.978,1494.117,1507.874,1486.821,1496.527,-0.549,-0.0367,5429595.35,14066711.74968
399006.SZ,2014-02-07,1532.687,1489.054,1532.817,1483.685,1495.978,36.709,2.4538,5603172.7,14086550.34133
399006.SZ,2014-02-10,1553.415,1536.991,1557.029,1525.94,1532.687,20.728,1.3524,7266272.25,18373981.25101
399006.SZ,2014-02-11,1527.151,1550.618,1559.774,1506.04,1553.415,-26.264,-1.6907,7856495.87,19895924.6169
399006.SZ,2014-02-12,1539.966,1527.1,1540.329,1513.91,1527.151,12.815,0.8391,6622435.77,16456750.00225
399006.SZ,2014-02-13,1485.131,1537.26,1539.657,1484.423,1539.966,-54.835,-3.5608,7661786.27,18506255.22442
399006.SZ,2014-02-14,1515.784,1484.563,1516.426,1475.953,1485.131,30.653,2.064,5816737.47,14242913.49005
399006.SZ,2014-02-17,1558.616,1521.166,1559.124,1521.166,1515.784,42.832,2.8257,7200833.5,17826243.15416
399006.SZ,2014-02-18,1545.341,1558.742,1561.773,1539.209,1558.616,-13.275,-0.8517,6613089.8,16101304.44962
399006.SZ,2014-02-19,1544.402,1544.642,1551.883,1524.391,1545.341,-0.939,-0.0608,6674200.94,15786537.76333
399006.SZ,2014-02-20,1515.164,1545.255,1545.506,1504.167,1544.402,-29.238,-1.8932,6141650.41,14703612.99524
399006.SZ,2014-02-21,1519.665,1512.168,1526.026,1503.813,1515.164,4.501,0.2971,4849036.3,11928684.69978
399006.SZ,2014-02-24,1540.026,1517.966,1542.307,1510.457,1519.665,20.361,1.3398,5599467.92,14425583.01321
399006.SZ,2014-02-25,1472.691,1543.966,1571.398,1460.412,1540.026,-67.335,-4.3723,8773971.35,22434815.75793
399006.SZ,2014-02-26,1465.985,1452.056,1468.003,1415.246,1472.691,-6.706,-0.4554,6203060.44,15556867.45162
399006.SZ,2014-02-27,1414.657,1467.272,1496.619,1410.966,1465.985,-51.328,-3.5013,6585857.61,17174500.34629
399006.SZ,2014-02-28,1434.894,1410.399,1436.876,1393.002,1414.657,20.237,1.4305,5034207.47,12343402.63537
399006.SZ,2014-03-03,1465.139,1433.901,1466.234,1431.141,1434.894,30.245,2.1078,4836034.36,11592826.85195
399006.SZ,2014-03-04,1460.452,1462.261,1475.502,1446.272,1465.139,-4.687,-0.3199,4802637.35,12200815.08698
399006.SZ,2014-03-05,1464.578,1467.062,1471.04,1454.936,1460.452,4.126,0.2825,4698540.1,11725782.94734
399006.SZ,2014-03-06,1462.528,1461.115,1464.413,1426.997,1464.578,-2.05,-0.14,5024244.38,13050445.82019
399006.SZ,2014-03-07,1460.611,1463.933,1477.96,1453.625,1462.528,-1.917,-0.1311,5030434.32,12654964.83134
399006.SZ,2014-03-10,1407.073,1446.063,1446.063,1404.586,1460.611,-53.538,-3.6655,5040936.65,11430475.2931
399006.SZ,2014-03-11,1395.813,1399.9,1410.382,1380.967,1407.073,-11.26,-0.8002,4148921.32,9310371.39955
399006.SZ,2014-03-12,1399.266,1390.86,1418.612,1378.89,1395.813,3.453,0.2474,4515111.11,10537115.4243
