trade_date,open,close
20100531,,1000.0
20100601,986.015,973.233
20100602,967.609,997.119
20100603,1002.355,998.394
20100604,989.681,1027.681
20100607,1005.028,1069.468
20100608,1067.324,1067.154
20100609,1070.852,1077.823
20100610,1077.675,1117.478
20100611,1122.443,1122.199
20100617,1126.13,1064.839
20100618,1052.067,1000.277
20100621,991.957,1040.802
20100622,1037.039,1034.995
20100623,1026.865,1047.337
20100624,1046.759,1050.601
20100625,1046.212,1016.283
20100628,1009.223,987.827
20100629,985.572,913.309
20100630,898.291,919.314
20100701,914.395,882.19
20100702,878.951,873.12
20100705,857.369,862.268
20100706,859.258,893.718
20100707,896.532,908.549
20100708,911.997,905.509
20100709,903.496,932.147
20100712,931.535,930.173
20100713,924.948,931.08
20100714,929.749,922.362
20100715,920.046,892.557
20100716,885.067,892.298
20100719,881.656,908.049
20100720,909.543,937.017
20100721,940.097,941.25
20100722,938.218,950.209
20100723,951.84,960.588
20100726,962.76,966.154
20100727,963.544,957.967
20100728,955.188,972.534
20100729,974.295,975.362
20100730,971.663,968.431
20100802,968.45,994.228
20100803,995.195,975.645
20100804,971.407,978.014
20100805,980.27,987.351
20100806,987.967,1011.39
20100809,1013.245,1032.339
20100810,1031.978,993.992
20100811,991.278,1004.637
20100812,994.052,991.777
20100813,992.626,1007.206
20100816,1007.498,1030.217
20100817,1031.075,1033.581
20100818,1033.707,1026.722
20100819,1026.983,1025.526
20100820,1021.458,995.944
20100823,994.938,995.613
20100824,993.576,1004.985
20100825,1000.269,976.878
20100826,978.598,980.63
20100827,978.514,999.456
20100830,1002.987,1024.928
20100831,1020.747,1025.57
20100901,1025.678,995.586
20100902,1001.597,1014.922
20100903,1017.637,1036.703
20100906,1039.464,1010.764
20100907,1010.115,1022.622
20100908,1020.229,1026.327
20100909,1029.106,1021.832
20100910,1021.874,1034.939
20100913,1034.39,1042.482
20100914,1044.302,1031.219
20100915,1029.52,990.103
20100916,989.488,972.602
20100917,976.071,972.229
20100920,972.445,949.195
20100921,952.072,934.461
20100927,936.213,950.671
20100928,949.631,942.049
20100929,941.268,926.758
20100930,923.825,942.539
20101008,946.469,959.863
20101011,960.913,947.11
20101012,946.626,951.79
20101013,951.326,962.738
20101014,963.286,958.495
20101015,954.117,944.254
20101018,941.874,932.359
20101019,932.826,995.922
20101020,986.654,1004.542
20101021,1001.682,991.842
20101022,991.135,1013.448
20101025,1018.084,1039.054
20101026,1041.532,1036.007
20101027,1034.864,1030.593
20101028,1024.697,1038.622
20101029,1042.401,1064.522
20101101,1071.628,1107.523
20101102,1108.093,1075.151
20101103,1063.2,1040.621
20101104,1041.419,1057.714
20101105,1067.873,1072.219
20101108,1077.504,1107.061
20101109,1110.434,1115.648
20101110,1115.743,1141.582
20101111,1137.079,1132.722
20101112,1126.854,1082.24
20101115,1087.807,1148.539
20101116,1154.409,1126.175
20101117,1115.12,1085.349
20101118,1090.138,1102.845
20101119,1106.753,1153.171
20101122,1153.264,1174.938
20101123,1172.06,1183.502
20101124,1176.424,1208.45
20101125,1212.768,1186.358
20101126,1184.803,1196.019
20101129,1195.313,1220.11
20101130,1219.076,1181.504
20101201,1176.613,1177.175
20101202,1187.103,1177.84
20101203,1177.169,1157.939
20101206,1157.72,1134.383
20101207,1132.328,1161.692
20101208,1160.923,1160.239
20101209,1158.817,1144.531
20101210,1139.828,1166.801
20101213,1175.509,1209.271
20101214,1211.463,1218.52
20101215,1217.808,1211.804
20101216,1209.62,1225.03
20101217,1222.927,1232.982
20101220,1235.668,1212.337
20101221,1212.086,1215.022
20101222,1214.772,1201.647
20101223,1198.737,1176.364
20101224,1170.695,1144.502
20101227,1145.699,1105.296
20101228,1098.939,1091.483
20101229,1091.818,1113.31
20101230,1113.559,1117.214
20101231,1117.36,1137.662
20110104,1142.166,1155.106
20110105,1153.909,1155.349
20110106,1153.633,1134.792
20110107,1132.733,1126.517
20110110,1124.337,1093.765
20110111,1089.988,1078.365
20110112,1083.117,1089.673
20110113,1094.826,1093.856
20110114,1092.093,1067.418
20110117,1066.435,1028.161
20110118,1021.836,1025.716
20110119,1025.93,1048.535
20110120,1047.768,1020.389
20110121,1014.716,1024.505
20110124,1024.792,994.967
20110125,992.573,978.998
20110126,978.068,995.744
20110127,991.059,1013.024
20110128,1013.639,1020.938
20110131,1021.626,1029.12
20110201,1029.67,1032.604
20110209,1026.446,1025.152
20110210,1026.253,1063.946
20110211,1067.19,1071.582
20110214,1072.311,1086.558
20110215,1086.796,1087.725
20110216,1086.766,1107.24
20110217,1108.627,1115.334
20110218,1114.447,1100.461
20110221,1096.165,1117.672
20110222,1118.61,1088.266
20110223,1088.08,1114.052
20110224,1112.431,1101.953
20110225,1098.11,1095.098
20110228,1096.337,1099.776
20110301,1100.809,1098.003
20110302,1094.972,1088.897
20110303,1088.891,1064.307
20110304,1063.43,1071.86
20110307,1073.926,1078.111
20110308,1079.528,1084.821
20110309,1084.703,1087.299
20110310,1088.344,1093.904
20110311,1090.212,1101.76
20110314,1099.318,1107.537
20110315,1108.197,1094.954
20110316,1094.124,1102.215
20110317,1096.223,1078.371
20110318,1081.601,1083.597
20110321,1083.146,1070.601
20110322,1072.387,1067.285
20110323,1066.172,1076.563
20110324,1078.018,1077.988
20110325,1077.343,1072.343
20110328,1072.889,1052.113
20110329,1050.29,1019.04
20110330,1017.165,1006.366
20110331,1006.721,1008.296
20110401,1006.038,1015.076
20110406,1011.676,994.261
20110407,993.375,1004.412
20110408,1004.136,1019.142
20110411,1021.305,1002.804
20110412,1000.767,1000.165
20110413,999.534,1020.747
20110414,1021.101,1016.616
20110415,1015.966,1010.058
20110418,1008.484,1003.258
20110419,1000.879,994.299
20110420,993.937,1008.18
20110421,1007.979,1010.56
20110422,1008.166,1004.646
20110425,1001.083,975.175
20110426,970.958,958.292
20110427,956.771,942.543
20110428,941.196,904.147
20110429,901.156,912.715
20110503,911.792,922.072
20110504,919.667,903.985
20110505,901.475,914.593
20110506,910.139,918.282
20110509,920.12,931.77
20110510,932.876,931.205
20110511,931.509,929.953
20110512,927.152,909.255
20110513,909.245,909.774
20110516,911.335,906.337
20110517,903.978,895.149
20110518,891.994,890.794
20110519,891.479,884.89
20110520,884.061,875.43
20110523,873.314,840.898
20110524,836.789,870.939
20110525,867.681,842.35
20110526,843.624,830.921
20110527,830.605,822.944
20110530,819.868,834.316
20110531,836.347,846.315
20110601,846.476,851.166
20110602,841.519,833.737
20110603,833.439,847.545
20110607,845.254,847.709
20110608,846.672,844.978
20110609,843.584,828.016
20110610,825.548,824.03
20110613,820.241,829.359
20110614,829.514,838.474
20110615,837.535,827.533
20110616,822.366,810.709
20110617,809.156,802.637
20110620,800.618,791.758
20110621,791.995,795.608
20110622,797.418,791.513
20110623,790.704,814.444
20110624,812.305,832.324
20110627,832.616,843.859
20110628,843.983,844.177
20110629,844.846,836.384
20110630,834.824,845.919
20110701,847.537,855.27
20110704,856.504,876.168
20110705,877.522,883.417
20110706,881.602,894.277
20110707,893.599,899.798
20110708,899.468,894.909
20110711,894.073,903.31
20110712,895.491,891.516
20110713,890.299,913.085
20110714,913.494,932.775
20110715,935.542,951.138
20110718,952.026,946.118
20110719,940.424,927.297
20110720,932.211,930.828
20110721,930.259,915.368
20110722,917.631,923.995
20110725,920.852,887.063
20110726,884.015,892.54
20110727,890.026,915.548
20110728,907.249,919.395
20110729,919.525,913.278
20110801,911.939,927.384
20110802,923.087,932.121
20110803,922.806,945.509
20110804,944.832,937.475
20110805,905.163,919.185
20110808,908.075,877.443
20110809,848.997,878.761
20110810,891.223,891.752
20110811,873.124,915.489
20110812,920.288,926.297
20110815,928.98,942.485
20110816,942.945,933.139
20110817,932.006,936.159
20110818,934.578,915.684
20110819,895.646,912.421
20110822,913.605,910.606
20110823,912.352,936.416
20110824,940.423,940.196
20110825,942.643,942.944
