sleeve,CAGR%,Sharpe,maxDD%,total%,1Y_CAGR%,1Y_Sharpe,1Y_maxDD%
ChiNext timed 50/200,11.4,0.71,41.6,233.1,35.0,1.21,16.6
ChiNext buy&hold,8.0,0.4,69.7,136.5,59.0,1.56,21.6
Index rotation (dual-mom),5.4,0.34,54.7,78.8,24.8,0.85,26.0
CSI300 buy&hold,2.5,0.22,46.7,31.6,15.9,0.93,10.5
xsec:momentum_timed,1.9,0.19,31.9,15.6,35.3,1.22,12.5
xsec:multifactor,1.1,0.15,21.9,8.7,-2.6,-0.32,6.7
CSI300 timed 50/200,0.9,0.14,29.0,10.6,4.7,0.41,11.6
xsec:low_vol,0.6,0.11,25.4,4.7,-3.5,-0.45,7.3
xsec:momentum,-1.3,0.1,67.5,-9.4,35.2,1.21,12.5
xsec:value,0.4,0.09,30.9,2.9,0.7,0.16,4.2
xsec:low_vol_timed,-1.6,-0.28,15.8,-11.5,-3.4,-0.44,7.3
xsec:multifactor_timed,-2.8,-0.47,21.5,-19.2,-2.6,-0.32,6.7
