ts_code,circ_mv,list_date,delist_date
600519.SH,242542902.6306,2001-08-27,
300750.SZ,138628642.6800,2018-06-11,
601398.SH,123482393.3429,2006-10-27,
600036.SH,102092645.9791,2002-04-09,
601288.SH,87091800.6261,2010-07-15,
000858.SZ,84616878.4548,1998-04-27,
601857.SH,76265298.6523,2007-11-05,
601988.SH,64283482.0280,2006-07-05,
601628.SH,61533531.1500,2007-01-09,
601318.SH,52235108.2094,2007-03-01,
601012.SH,47318984.8097,2012-04-11,
603288.SH,47307230.3891,2014-02-11,
000333.SZ,46237405.4460,2013-09-18,
300760.SZ,43574022.0472,2018-10-16,
601888.SH,40113610.0515,2009-10-15,
002415.SZ,39607159.5871,2010-05-28,
600028.SH,38605339.5026,2001-08-08,
600809.SH,37678329.4351,1994-01-06,
603259.SH,36671629.5936,2018-05-08,
601633.SH,36391427.5027,2011-09-28,
601166.SH,35327066.2424,2007-02-05,
002594.SZ,35194624.4205,2011-06-30,
000001.SZ,33843635.8044,1991-04-03,
000568.SZ,33684853.9678,1994-05-09,
601088.SH,32223488.1641,2007-10-09,
600276.SH,32003454.4087,2000-10-18,
300059.SZ,29560256.7450,2010-03-19,
002475.SZ,27903665.8273,2010-09-15,
002352.SZ,27575037.4015,2010-02-05,
600436.SH,26968279.2870,2003-06-16,
300014.SZ,26884110.9929,2009-10-30,
600000.SH,24978692.9103,1999-11-10,
600887.SH,23346441.3862,1996-03-12,
600030.SH,23329450.8609,2003-01-06,
600104.SH,23308505.4232,1997-11-25,
600406.SH,22824476.9818,2003-10-16,
002304.SZ,21769050.7459,2009-11-06,
603501.SH,21433320.6880,2017-05-04,
601899.SH,20802101.8646,2008-04-25,
000651.SZ,20283323.6678,1996-11-18,
600438.SH,20220954.4425,2004-03-02,
601919.SH,19681804.2134,2007-06-26,
600111.SH,19553161.2120,1997-09-24,
300015.SZ,19029832.9052,2009-10-30,
002812.SZ,18872998.2407,2016-09-14,
601668.SH,18859086.4396,2009-07-29,
002714.SZ,18602434.1550,2014-01-28,
600031.SH,18597984.8695,2003-07-03,
601601.SH,18543217.3016,2007-12-25,
601328.SH,17937644.8549,2007-05-15,
002371.SZ,17824983.1189,2010-03-16,
000002.SZ,17744252.2619,1991-01-29,
300274.SZ,17700507.4913,2011-11-02,
002466.SZ,17399236.9700,2010-08-31,
600690.SH,17171880.3242,1993-11-19,
600048.SH,16578599.0025,2006-07-31,
000725.SZ,16165042.7368,2001-01-12,
603799.SH,15667254.1464,2015-01-29,
000792.SZ,15521214.1986,1997-09-04,
002241.SZ,15505399.0545,2008-05-22,
002493.SZ,15387215.6250,2010-11-02,
601998.SH,15323705.4375,2007-04-27,
601319.SH,15116283.9966,2018-11-16,
600893.SH,14984992.8531,1996-04-08,
600346.SH,14859539.6482,2001-08-20,
601766.SH,14815629.0112,2008-08-18,
600585.SH,14486922.7411,2002-02-07,
600019.SH,14482454.4409,2000-12-12,
603260.SH,14476154.0000,2017-10-30,
002460.SZ,14396689.3468,2010-08-10,
600760.SH,14297236.2056,1996-10-11,
600703.SH,14286722.5228,1996-05-28,
002049.SZ,14010820.0632,2005-06-06,
300124.SZ,13959831.8246,2010-09-28,
601818.SH,13853315.9204,2010-08-18,
