as_of_date,ticker,listed_on_or_before,delisted_after,source_file,source_sha256
2021-01-29,000001.SZ,1991-04-03,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000002.SZ,1991-01-29,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000009.SZ,1991-06-25,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000012.SZ,1992-02-28,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000016.SZ,1992-03-27,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000021.SZ,1994-02-02,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000027.SZ,1993-09-03,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000028.SZ,1993-08-09,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000030.SZ,1993-09-29,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000035.SZ,1994-04-08,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000039.SZ,1994-04-08,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000046.SZ,1994-09-12,2024-02-07,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000049.SZ,1995-03-20,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000050.SZ,1995-03-15,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000060.SZ,1997-01-23,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000061.SZ,1997-01-10,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000062.SZ,1997-01-30,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000063.SZ,1997-11-18,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000066.SZ,1997-06-26,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000069.SZ,1997-09-10,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000088.SZ,1997-07-28,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000089.SZ,1998-04-20,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000090.SZ,1999-07-21,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000100.SZ,2004-01-30,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000155.SZ,2000-09-26,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000156.SZ,2000-09-06,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000157.SZ,2000-10-12,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000166.SZ,2015-01-26,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000301.SZ,2000-05-29,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000333.SZ,2013-09-18,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000338.SZ,2007-04-30,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000400.SZ,1997-04-18,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
